epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.38,0.91255,1.50974,1.05607,0.95787,0.95781,0.98527,0.83442,0.51431,0.49585,0.86204,0.00333096,0.00333096,0.00333096
2,480.715,0.57786,0.57889,0.90277,0.98669,0.9845,0.99289,0.9073,0.38258,0.35758,0.81372,0.00600453,0.00600453,0.00600453
3,713.693,0.5098,0.43878,0.87321,0.98761,0.98705,0.99318,0.91391,0.3711,0.30438,0.81008,0.0080181,0.0080181,0.0080181
4,947.049,0.43513,0.33038,0.84779,0.99445,0.99448,0.99435,0.96253,0.25097,0.21357,0.76499,0.00703,0.00703,0.00703
5,1179.02,0.37146,0.2646,0.8276,0.99637,0.99634,0.99456,0.97189,0.2261,0.17645,0.76238,0.00604,0.00604,0.00604
6,1410.13,0.33446,0.23298,0.8176,0.9969,0.99746,0.99462,0.97772,0.2009,0.15572,0.7539,0.00505,0.00505,0.00505
7,1643.62,0.30553,0.20986,0.81013,0.9979,0.99778,0.99471,0.98197,0.183,0.14204,0.75425,0.00406,0.00406,0.00406
8,1875.25,0.28054,0.19163,0.80408,0.99807,0.99801,0.99471,0.9839,0.17392,0.13527,0.75083,0.00307,0.00307,0.00307
9,2107.32,0.25837,0.17568,0.79863,0.99829,0.99814,0.99475,0.98506,0.16712,0.13275,0.74837,0.00208,0.00208,0.00208
10,2341.67,0.23677,0.1603,0.79346,0.99851,0.99828,0.99476,0.98598,0.16255,0.12791,0.74744,0.00109,0.00109,0.00109
