epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.63,1.81058,2.06685,1.50937,0.81505,0.75857,0.81108,0.4135,1.64753,1.1911,1.44084,0.00016656,0.00016656,0.00016656
2,346.784,1.59545,1.32443,1.4291,0.82414,0.76514,0.83512,0.4542,1.52562,1.10514,1.35728,0.000300237,0.000300237,0.000300237
3,504.24,1.49968,1.28192,1.37441,0.87333,0.7637,0.86556,0.48296,1.44886,1.12618,1.33857,0.000400914,0.000400914,0.000400914
4,661.236,1.46036,1.25152,1.36161,0.86711,0.77664,0.8708,0.49198,1.41286,1.11405,1.31899,0.0003515,0.0003515,0.0003515
5,818.863,1.42971,1.22667,1.34672,0.88462,0.78845,0.88103,0.49817,1.41905,1.06611,1.32475,0.000302,0.000302,0.000302
6,974.077,1.4094,1.20539,1.33537,0.87508,0.78328,0.88013,0.5031,1.3794,1.09102,1.3067,0.0002525,0.0002525,0.0002525
7,1131.73,1.39197,1.19266,1.32919,0.88389,0.79345,0.88743,0.51001,1.36735,1.07355,1.30031,0.000203,0.000203,0.000203
8,1286.59,1.37736,1.17948,1.32029,0.88116,0.78102,0.88434,0.51146,1.35129,1.07444,1.29749,0.0001535,0.0001535,0.0001535
9,1444.35,1.36373,1.16933,1.31338,0.88937,0.77895,0.88775,0.51488,1.34287,1.06841,1.29029,0.000104,0.000104,0.000104
10,1602.06,1.35048,1.15996,1.30535,0.8845,0.78377,0.88821,0.51631,1.34339,1.05759,1.28843,5.45e-05,5.45e-05,5.45e-05
