epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,547.26,1.48078,1.21687,1.16497,0.81856,0.59859,0.73215,0.35964,1.93698,2.84993,1.43241,0.00333096,0.00333096,0.00333096
2,833.587,1.4954,1.13639,1.1548,0.91456,0.80154,0.90185,0.49304,1.51941,1.14311,1.20776,0.00600453,0.00600453,0.00600453
3,1718.2,1.50617,1.12176,1.16352,0.65925,0.4794,0.56263,0.28596,1.83547,inf,1.41395,0.0080181,0.0080181,0.0080181
4,1950.28,1.49347,1.10302,1.17332,0.91752,0.86296,0.93624,0.52527,1.42665,0.91892,1.18056,0.00703,0.00703,0.00703
5,2837.48,1.46425,1.07449,1.15371,0.71193,0.52486,0.60993,0.32239,1.76177,3.00636,1.38251,0.00604,0.00604,0.00604
6,3064.09,1.44612,1.05649,1.1384,0.93096,0.90241,0.95772,0.55673,1.32538,0.89779,1.11911,0.00505,0.00505,0.00505
7,3290.93,1.43024,1.04305,1.12747,0.93658,0.91312,0.96067,0.56078,1.30898,0.90222,1.1134,0.00406,0.00406,0.00406
8,3519.99,1.41597,1.03211,1.11912,0.93891,0.90834,0.96234,0.56392,1.29846,0.90217,1.10288,0.00307,0.00307,0.00307
9,3747.11,1.40389,1.02228,1.11302,0.94113,0.91501,0.96349,0.56536,1.29231,0.90459,1.1007,0.00208,0.00208,0.00208
10,3974.1,1.3909,1.01003,1.10517,0.94037,0.91318,0.96431,0.56711,1.28774,0.89934,1.09467,0.00109,0.00109,0.00109
