epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.222,1.00774,0.43339,1.01505,0.9923,0.99386,0.99403,0.80003,0.82504,0.35977,0.95607,0.00333136,0.00333136,0.00333136
2,595.547,0.90385,0.401,0.95092,0.9867,0.99556,0.99398,0.80251,0.81526,0.35698,0.95402,0.00600489,0.00600489,0.00600489
3,877.765,0.90785,0.41744,0.95187,0.97517,0.97681,0.98833,0.69607,1.09833,0.54933,1.12618,0.00801842,0.00801842,0.00801842
4,1159.89,0.90717,0.4216,0.95613,0.99279,0.9958,0.99425,0.8094,0.80019,0.3404,0.95814,0.00703,0.00703,0.00703
5,1440.2,0.89687,0.40947,0.95456,0.99432,0.99709,0.99433,0.82379,0.78393,0.327,0.94995,0.00604,0.00604,0.00604
6,1717.94,0.88884,0.40029,0.95101,0.99629,0.99741,0.99447,0.82631,0.77982,0.31912,0.94826,0.00505,0.00505,0.00505
7,1998.88,0.88263,0.39111,0.94846,0.99658,0.99796,0.99458,0.8306,0.77418,0.31373,0.94619,0.00406,0.00406,0.00406
8,2278.54,0.87596,0.38309,0.94692,0.99685,0.99786,0.99457,0.83198,0.77071,0.30983,0.94546,0.00307,0.00307,0.00307
9,2555.05,0.86921,0.37482,0.94743,0.99707,0.99822,0.9946,0.83243,0.76813,0.30847,0.94625,0.00208,0.00208,0.00208
10,2833.29,0.86201,0.36488,0.94503,0.9972,0.99825,0.99461,0.83317,0.76653,0.3073,0.9459,0.00109,0.00109,0.00109
